nu_mu,,nu_e_mub,
X,Y,X,Y
12.242831242860689,0.18854497431767747,20.977857189664462,0.00786642308825769
23.53242295897462,0.38215965183865386,48.024305814180536,0.00834490596298032
31.68312998173866,0.663182897366676,75.07828686961682,0.03825008563303456
26.019809242759777,0.4940050238046556,102.13517679065245,0.07951923357770774
40.90127646333826,0.9976747054031865,129.19344459539303,0.12617131386299185
57.13927019142443,1.4644281040979052,156.2573770331428,0.19495322710411678
64.87434357636153,1.7988676967413415,183.32804579122774,0.29005169845488865
58.27667916802773,1.63877530157432,210.39794905836555,0.38215965183865386
74.24103661392496,2.2562745400756903,237.46907711101875,0.4790524339696294
70.67712218513765,2.055454138310404,264.54495120754467,0.5944864274960366
69.42192116267239,1.9545739988900888,291.61990671493385,0.7063317994620384
82.30775348393774,2.6665830988566626,318.6919533567238,0.8068132031534194
78.14966619700994,2.4315616146274497,345.7692053369546,0.9276301290204376
91.85482219104904,3.1425472928897573,372.8450794334804,1.0430641225468467
88.59820426098298,2.907233402459328,399.9166667807021,1.141751215458024
85.62277156891014,2.8098621374536314,426.9897851098179,1.2464193443032112
102.2075922342562,3.5642701365968597,454.0642813226388,1.356470405489011
98.04903714730511,3.3274211136100327,481.13769819322425,1.4623048363413318
95.57568486421837,3.270401904372463,508.204891622409,1.5438263561218992
113.22501255053982,4.0210817244501555,535.2767468914622,1.6435601303215286
107.99745956238985,3.7704165084557637,562.3391483473174,1.706361007628642
105.52186183919133,3.7046251131816454,589.3991002321418,1.7595922274413365
124.57086590716784,4.4802325619131995,616.4544591712831,1.7948803394520016
120.41137522017021,4.239728461411143,643.5078278339615,1.8223931047484516
117.93690021702758,4.178323159155299,670.5575221400936,1.835551383803276
130.34997383476605,4.644345542346973,697.6010925186483,1.8247855191220559
136.75866039940962,4.980978181499546,724.6440505044454,1.8116272400672315
131.61836681788782,4.796762274732014,751.6851713119688,1.7912917178915961
144.46920769741183,5.3720714756290295,778.7256797267346,1.7685637813423547
140.30844459435087,5.1265964697062625,805.7672598288266,1.7500225699469212
154.42343083278524,5.83772835106918,832.8085337345397,1.7302851513646864
150.26337878575964,5.595031204057988,859.8490421493054,1.707557214815445
147.788903782617,5.533625901802143,886.8913877423447,1.6920065213870146
163.35106681707043,6.295161302100066,913.931743058921,1.6686804812443743
160.21853752117966,6.064343157013367,940.9725576700657,1.647148751881934
157.74518523809286,6.007323947775798,968.0156687540521,1.6345885764205121
171.8690035409668,6.752959760882476,995.057555052523,1.6172435722118816
167.70820301390393,6.507338551859099,1022.0980634672887,1.5945156356626402
165.2326052907054,6.4415471565849804,1049.1385718820547,1.5717876991133988
179.82155047386937,7.174651275353731,1076.178161707684,1.5454711410037518
177.65550270893277,6.945947853686556,1103.2182108278814,1.5209488936743067
190.05131450581223,7.344534056722258,1130.2605564209207,1.50539820024588
196.29542501255128,7.724333161329684,1157.3027489157703,1.4892494032240506
191.33004586944844,7.537339395650578,1184.343257330536,1.4665214666748092
206.39021269891992,8.205487565434407,1211.3857560217646,1.451568876839783
200.05432918361373,8.000803224581592,1238.4279485166142,1.435420079817952
201.24497380286635,7.849483015451119,1265.470600306032,1.4210655935763281
217.42802107678955,8.635220250439165,1292.5120273099346,1.4019262785874922
211.2315686998508,8.441605572918187,1319.5542198047845,1.385777481565663
225.93094141993862,8.920003004268564,1346.596412299634,1.3696286845438337
221.1474322333151,8.757404270233955,1373.639370285431,1.356470405489011
234.76779078542,9.137114608673155,1400.6815627802805,1.3403216084671818
244.64371756261124,9.29689371148173,1427.722989784183,1.3211822934783477
263.1237598522734,9.450681097934982,1454.7661008681694,1.308622118016924
286.51010154427996,9.560657396171605,1481.8078340684508,1.290679010214891
313.5671445635051,9.60252464770968,1508.8504858578688,1.2763245239732672
340.6162264768795,9.6132905123909,1535.8931376472867,1.2619700377316398
367.6640836047383,9.61927154832491,1562.9394637932512,1.2619700377316398
394.7104097507028,9.61927154832491,1589.9814196281557,1.2448966891913944
421.7564297002884,9.618075341138109,1614.7281924650706,1.2264825578565102
448.8029089444422,9.61867344473151,1644.0612952339275,1.1949824352707186
474.8621804434677,9.604797441364605,1671.1021098450722,1.1734507059082802
497.9353767391372,9.45197342891358,1698.1456802236269,1.1626848412270618
507.7138674543367,9.231102316207611,1725.1886382094237,1.1495265621722393
513.2682041536063,8.974515874638548,1752.2311369006525,1.1345739723372095
522.372100503806,8.862670502672547,1779.2745541810177,1.1232100040625905
521.8315107969033,8.671875456377602,1806.3168997740563,1.107659310634162
528.4347888055165,8.533713526301954,1833.3598577598532,1.0945010315793375
529.6226266246294,8.371428084625794,1860.4046529239235,1.0885199956453278
532.0280543443359,8.163088666257751,1887.4468454187731,1.0723711986234985
539.9732634997304,7.984355375763062,1914.488425520865,1.053829987228065
542.8121413552933,7.754085492303647,1941.5318428012301,1.0424660189534443
549.088346953344,7.573159155299821,1968.5763317689216,1.0352887758326315
551.4877868327524,7.341427240834315,,
561.2532994387345,7.0698549814528135,,
562.5298321422615,7.254070888220346,,
566.8224319844546,6.871070980017441,,
570.9903698033013,6.687168365608357,,
571.6418361351502,6.487789108691932,,
580.7479298088879,6.3845279473474115,,
580.7108800470439,6.239786877744351,,
581.8922622258358,6.052281401213112,,
590.4718082127981,5.950304738538228,,
590.4347584509544,5.805563668935167,,
591.0861766662292,5.605996436603673,,
600.1923184565408,5.502923250674222,,
600.155268694697,5.35818218107116,,
600.804762247019,5.1510959321369105,,
609.9083378200598,5.037997390737116,,
609.8712880582161,4.8932563211340545,,
611.3555239720793,4.688206472529719,,
622.0920958663864,4.608160274946207,,
625.494632652857,4.178532020727598,,
624.5081894266236,4.441488740251774,,
628.0809653244235,3.990817682624061,,
630.6555628982628,3.7572582294009402,,
643.0622610699697,3.2835601834272854,,
640.2913879720768,3.665150276017174,,
640.2543382102331,3.5204092064141133,,
648.1253075019331,3.051645515086017,,
652.7812743536381,2.830330571538912,,
659.6903064574669,2.6059088121038645,,
660.3750534195435,2.39932383094313,,
668.2168039217893,2.296689254315506,,
668.1797541599456,2.1519481847124453,,
668.8312525695103,1.9526942447394013,,
675.4796799632275,1.8536938594697752,,
678.3765222513894,1.6440386131962494,,
680.6474801861182,1.4592587801835109,,
690.118265411719,1.4085054181149044,,
696.1523243520048,0.9677030697783096,,
705.9093229975633,0.6628696050082272,,
714.457264414953,0.4374244238689151,,
723.5508638183544,0.2853523130781639,,
736.928113381218,0.1727237102160437,,
763.5379019111724,0.06824070867357257,,
